,HANDLE_OAPEN_Library_ID,Publication_type,Publication_title,Publication_subtitle,Publication_ISBN,Publication_author,Publication_editor,Pubilcation_year,Publication_publisher,Publication_language,English_yes_no,Country,Continent,National_languages,Title_downloads,English_text_mining,Country_mentioned_yes_no,Country_score,Total_downloads_OAPEN_Library
0,20.500.12657/32240,book,The Khilafat Movement in India 1919-1924,,9789024713349,"Niemeijer, A.",,1972,Brill,English[eng],English only,India,Asia,Hindi; English,1592.0,khilafat move ment hindu muslim unity abul kalam azad smith modern islam selections trom comrade toynbee survey 1925 hakim ajmal khan mahmud ul hasan i.a.r 1922 pt mohsin ul mulk sayyid ahmad khan sir sayyid ahmad india khilafat conference jamiat ul ulama sir harcourt butler sept 1920 app viqar ul mulk dar ul harb dr abdul hamid hindu muslim relations jazirat ul arab trom comrade pp brits indische regering majumdar history ot maulana abul kalam montagu mont coll survey 1925 pp british india 1772 cit pp 51 habib ur rahman,Country discussed,5.0,20037.0
1,20.500.12657/32240,book,The Khilafat Movement in India 1919-1924,,9789024713349,"Niemeijer, A.",,1972,Brill,English[eng],English only,Pakistan,Asia,Urdu; English,1670.0,khilafat move ment hindu muslim unity abul kalam azad smith modern islam selections trom comrade toynbee survey 1925 hakim ajmal khan mahmud ul hasan i.a.r 1922 pt mohsin ul mulk sayyid ahmad khan sir sayyid ahmad india khilafat conference jamiat ul ulama sir harcourt butler sept 1920 app viqar ul mulk dar ul harb dr abdul hamid hindu muslim relations jazirat ul arab trom comrade pp brits indische regering majumdar history ot maulana abul kalam montagu mont coll survey 1925 pp british india 1772 cit pp 51 habib ur rahman,No mention,0.0,6497.0
2,20.500.12657/26599,book,The Romantic Age in Russian Literature - Poetic and Esthetic Norms,An Anthology of Original Texts (1800-1850),9783876901046,"Neuhäuser, Rudolf",,1975,Peter Lang International Academic Publishers,English[eng],English only,Kazakhstan,Asia,Kazakh; Russian,92.0,rudolf neuhäuser 9783954793181downloaded <U+0432> <U+0433> <U+0431><U+0435><U+043B><U+0438><U+043D><U+0441><U+043A><U+0438><U+0439> <U+0430> <U+0441> <U+043F><U+0443><U+0448><U+043A><U+0438><U+043D> <U+043F><U+043E><U+043B><U+043D><U+043E><U+0435> <U+0441><U+043E><U+0431><U+0440><U+0430><U+043D><U+0438><U+0435> <U+0441><U+043E><U+0447><U+0438><U+043D><U+0435><U+043D><U+0438><U+0439> <U+043F><U+043E> <U+043A><U+0440><U+0430><U+0439><U+043D><U+0435><U+0439> <U+043C><U+0435><U+0440><U+0435> <U+043F> <U+0430> <U+0432><U+044F><U+0437><U+0435><U+043C><U+0441><U+043A><U+0438><U+0439> <U+0433><U+043E><U+0440><U+0435> <U+043E><U+0442> <U+0443><U+043C><U+0430> <U+043D><U+0435> <U+043C><U+043E><U+0436><U+0435><U+0442> <U+0431><U+044B><U+0442><U+044C> <U+0430> <U+0430> <U+0431><U+0435><U+0441><U+0442><U+0443><U+0436><U+0435><U+0432> <U+0432> <U+0430> <U+0436><U+0443><U+043A><U+043E><U+0432><U+0441><U+043A><U+0438><U+0439> <U+0434><U+043E> <U+0441><U+0438><U+0445> <U+043F><U+043E><U+0440> <U+043F> <U+0430> <U+043F><U+043B><U+0435><U+0442><U+043D><U+0435><U+0432> <U+043B><U+044E><U+0431><U+0438><U+0442><U+0435><U+043B><U+0435><U+0439> <U+0440><U+043E><U+0441><U+0441><U+0438><U+0439><U+0441><U+043A><U+043E><U+0439> <U+0441><U+043B><U+043E><U+0432><U+0435><U+0441><U+043D><U+043E><U+0441><U+0442><U+0438> <U+043E><U+0431><U+0449><U+0435><U+0441><U+0442><U+0432><U+0430> <U+043B><U+044E><U+0431><U+0438><U+0442><U+0435><U+043B><U+0435><U+0439> <U+0440><U+043E><U+0441><U+0441><U+0438><U+0439><U+0441><U+043A><U+043E><U+0439> <U+0432> <U+043D><U+0430><U+0448><U+0435> <U+0432><U+0440><U+0435><U+043C><U+044F> <U+0432> <U+0442><U+043E><U+043C> <U+0447><U+0442><U+043E> <U+0433> <U+0431><U+0435><U+043B><U+0438><U+043D><U+0441><U+043A><U+0438><U+0439> <U+0441><U+043E><U+0447><U+0438><U+043D><U+0435><U+043D><U+0438><U+044F> <U+0442><U+043E> <U+0436><U+0435> <U+0432><U+0440><U+0435><U+043C><U+044F> <U+0431><U+0435><U+043B><U+0438><U+043D><U+0441><U+043A><U+0438><U+0439> <U+0441><U+043E><U+0447><U+0438><U+043D><U+0435><U+043D><U+0438><U+044F> <U+0430><U+043B><U+0435><U+043A><U+0441><U+0430><U+043D><U+0434><U+0440><U+0430> <U+0432> <U+0442><U+043E> <U+0436><U+0435> <U+0438><U+043B><U+0438> <U+043B><U+0443><U+0447><U+0448><U+0435> <U+0441><U+043A><U+0430><U+0437><U+0430><U+0442><U+044C> <U+0441><U+043E><U+0447><U+0438><U+043D><U+0435><U+043D><U+0438><U+044F> <U+0430><U+043B><U+0435><U+043A><U+0441><U+0430><U+043D><U+0434><U+0440><U+0430> <U+043F><U+0443><U+0448><U+043A><U+0438><U+043D><U+0430> <U+0430> <U+0444> <U+043C><U+0435><U+0440><U+0437><U+043B><U+044F><U+043A><U+043E><U+0432> <U+0430><U+043B><U+0435><U+043A><U+0441><U+0430><U+043D><U+0434><U+0440><U+0430> <U+043F><U+0443><U+0448><U+043A><U+0438><U+043D><U+0430> <U+0441><U+0442><U+0430><U+0442><U+044C><U+044F> <U+0432> <U+043D><U+0430><U+0448><U+0435><U+0439> <U+043B><U+0438><U+0442><U+0435><U+0440><U+0430><U+0442><U+0443><U+0440><U+0435> <U+043D><U+0435> <U+0447><U+0442><U+043E> <U+0438><U+043D><U+043E><U+0435> <U+043E> <U+043B><U+0438><U+0442><U+0435><U+0440><U+0430><U+0442><U+0443><U+0440><U+0435> <U+043C><U+043E><U+0441><U+043A><U+0432><U+0430> <U+0441> <U+043F><U+0443><U+0448><U+043A><U+0438><U+043D> <U+043E> <U+0447><U+0442><U+043E> <U+0443> <U+043D><U+0430><U+0441> 1824 <U+043F> <U+0430>,No mention,7.0,1989.0
3,20.500.12657/26599,book,The Romantic Age in Russian Literature - Poetic and Esthetic Norms,An Anthology of Original Texts (1800-1850),9783876901046,"Neuhäuser, Rudolf",,1975,Peter Lang International Academic Publishers,English[eng],English only,Ukraine,Europe,Ukranian,233.0,rudolf neuhäuser 9783954793181downloaded <U+0432> <U+0433> <U+0431><U+0435><U+043B><U+0438><U+043D><U+0441><U+043A><U+0438><U+0439> <U+0430> <U+0441> <U+043F><U+0443><U+0448><U+043A><U+0438><U+043D> <U+043F><U+043E><U+043B><U+043D><U+043E><U+0435> <U+0441><U+043E><U+0431><U+0440><U+0430><U+043D><U+0438><U+0435> <U+0441><U+043E><U+0447><U+0438><U+043D><U+0435><U+043D><U+0438><U+0439> <U+043F><U+043E> <U+043A><U+0440><U+0430><U+0439><U+043D><U+0435><U+0439> <U+043C><U+0435><U+0440><U+0435> <U+043F> <U+0430> <U+0432><U+044F><U+0437><U+0435><U+043C><U+0441><U+043A><U+0438><U+0439> <U+0433><U+043E><U+0440><U+0435> <U+043E><U+0442> <U+0443><U+043C><U+0430> <U+043D><U+0435> <U+043C><U+043E><U+0436><U+0435><U+0442> <U+0431><U+044B><U+0442><U+044C> <U+0430> <U+0430> <U+0431><U+0435><U+0441><U+0442><U+0443><U+0436><U+0435><U+0432> <U+0432> <U+0430> <U+0436><U+0443><U+043A><U+043E><U+0432><U+0441><U+043A><U+0438><U+0439> <U+0434><U+043E> <U+0441><U+0438><U+0445> <U+043F><U+043E><U+0440> <U+043F> <U+0430> <U+043F><U+043B><U+0435><U+0442><U+043D><U+0435><U+0432> <U+043B><U+044E><U+0431><U+0438><U+0442><U+0435><U+043B><U+0435><U+0439> <U+0440><U+043E><U+0441><U+0441><U+0438><U+0439><U+0441><U+043A><U+043E><U+0439> <U+0441><U+043B><U+043E><U+0432><U+0435><U+0441><U+043D><U+043E><U+0441><U+0442><U+0438> <U+043E><U+0431><U+0449><U+0435><U+0441><U+0442><U+0432><U+0430> <U+043B><U+044E><U+0431><U+0438><U+0442><U+0435><U+043B><U+0435><U+0439> <U+0440><U+043E><U+0441><U+0441><U+0438><U+0439><U+0441><U+043A><U+043E><U+0439> <U+0432> <U+043D><U+0430><U+0448><U+0435> <U+0432><U+0440><U+0435><U+043C><U+044F> <U+0432> <U+0442><U+043E><U+043C> <U+0447><U+0442><U+043E> <U+0433> <U+0431><U+0435><U+043B><U+0438><U+043D><U+0441><U+043A><U+0438><U+0439> <U+0441><U+043E><U+0447><U+0438><U+043D><U+0435><U+043D><U+0438><U+044F> <U+0442><U+043E> <U+0436><U+0435> <U+0432><U+0440><U+0435><U+043C><U+044F> <U+0431><U+0435><U+043B><U+0438><U+043D><U+0441><U+043A><U+0438><U+0439> <U+0441><U+043E><U+0447><U+0438><U+043D><U+0435><U+043D><U+0438><U+044F> <U+0430><U+043B><U+0435><U+043A><U+0441><U+0430><U+043D><U+0434><U+0440><U+0430> <U+0432> <U+0442><U+043E> <U+0436><U+0435> <U+0438><U+043B><U+0438> <U+043B><U+0443><U+0447><U+0448><U+0435> <U+0441><U+043A><U+0430><U+0437><U+0430><U+0442><U+044C> <U+0441><U+043E><U+0447><U+0438><U+043D><U+0435><U+043D><U+0438><U+044F> <U+0430><U+043B><U+0435><U+043A><U+0441><U+0430><U+043D><U+0434><U+0440><U+0430> <U+043F><U+0443><U+0448><U+043A><U+0438><U+043D><U+0430> <U+0430> <U+0444> <U+043C><U+0435><U+0440><U+0437><U+043B><U+044F><U+043A><U+043E><U+0432> <U+0430><U+043B><U+0435><U+043A><U+0441><U+0430><U+043D><U+0434><U+0440><U+0430> <U+043F><U+0443><U+0448><U+043A><U+0438><U+043D><U+0430> <U+0441><U+0442><U+0430><U+0442><U+044C><U+044F> <U+0432> <U+043D><U+0430><U+0448><U+0435><U+0439> <U+043B><U+0438><U+0442><U+0435><U+0440><U+0430><U+0442><U+0443><U+0440><U+0435> <U+043D><U+0435> <U+0447><U+0442><U+043E> <U+0438><U+043D><U+043E><U+0435> <U+043E> <U+043B><U+0438><U+0442><U+0435><U+0440><U+0430><U+0442><U+0443><U+0440><U+0435> <U+043C><U+043E><U+0441><U+043A><U+0432><U+0430> <U+0441> <U+043F><U+0443><U+0448><U+043A><U+0438><U+043D> <U+043E> <U+0447><U+0442><U+043E> <U+0443> <U+043D><U+0430><U+0441> 1824 <U+043F> <U+0430>,No mention,9.0,3364.0
4,20.500.12657/32288,book,Islamic States in Java 1500-1700,,9789024718764,"Pigeaud, T.G.||Graaf de, H.",,1976,Brill,English[eng],English only,Indonesia,Asia,Indonesian,409.0,java 1500 1700 mangku rat 11 sunan mangku rat village iv 2 chief iv 2 makasar chief iv sult agung 111 mangku rat ii envoy iv 1 madura iv 2 iv 2 1 11 iv 2 iv 2 35 commander iv 2 iv 2 3 iv 2 40 iv 2 41 envoy iv 2 iv 1 29 iv 2 138 iv 2 14 iv 2 60 jaya iv 2 district east java iv 2 144 iv 2 48 iv 2 88 java iv 2 ship iv 2 sunan gunung jati,No mention,5.0,5941.0
5,20.500.12657/26575,book,A Learner's Guide to the Old Church Slavic Language. Teil 1: Grammar with Exercises,Teil 1: Grammar with Exercises,9783876901305,"Regier, Philip J.",,1977,Peter Lang International Academic Publishers,German[ger],Non-English,Russian Federation,Europe,Russian,771.0,,,10.0,11477.0
6,20.500.12657/32285,book,Javanese Literature since Independence,,9789024723096,"Ras, J.",,1979,Brill,English[eng],English only,Indonesia,Asia,Indonesian,1160.0,crèng crèng crèng kaya ngono mau tok tok tok heh heh heh kenya rok biru pak lik baskara ya la ilaha lintang panjer soré ora ana sing çlog çlog çlog aku ora bisa dèn bèi jayatenaya ing sakiwa tengené ing wayah soré ngungelaken kepyak crèng wong wong sing aku ora naté apa manèh bareng ha ha ha kaya ngéné iki la ilaha rasulu'llah ora ana kang sajak sajak jawi wis ora ana wong lanang sing ya ya ya apa manèh yèn babar pisan ora bu nyai blorong é é é,No mention,5.0,5941.0
7,20.500.12657/26530,book,Upotreblenie vidov glagola v russkom jazyke,,9783876901978,"Rassudova, Ol'ga P",,1981,Peter Lang International Academic Publishers,Russian[rus],Non-English,Kazakhstan,Asia,Kazakh; Russian,255.0,,,7.0,1989.0
8,20.500.12657/26530,book,Upotreblenie vidov glagola v russkom jazyke,,9783876901978,"Rassudova, Ol'ga P",,1981,Peter Lang International Academic Publishers,Russian[rus],Non-English,Uzbekistan,Asia,Uzbek,143.0,,,6.0,873.0
9,20.500.12657/26530,book,Upotreblenie vidov glagola v russkom jazyke,,9783876901978,"Rassudova, Ol'ga P",,1981,Peter Lang International Academic Publishers,Russian[rus],Non-English,Georgia,Europe,Georgian,24.0,,,6.0,466.0
