Author/Writer,About the Author,AuthorID
S. Irudaya Rajan and Gayathri Balagopal (eds),"S. Irudaya Rajan, Centre for Development Studies Thiruvananthapuram, IndiaGayathri Balagopal, Independent Researcher Chennai, India",1
Diana K. Harris,Diana K. Harris is Professor Emeritus of Sociology at the University of Tennessee at Knoxville.,2
Sangeeta Gupta,"Sangeeta Gupta is a Senior Project Manager of the Longitudinal Ageing Study in India (LASI) at the International Institute for Population Sciences (IIPS), Mumbai. She has done extensive research and analysis in the areas of ageing, health, gender and demography. She has also published research articles in various national and international journals and in edited books. Dr Sangeeta participated in the Social Gerontology Programme at the International Institute on Ageing (United Nations), Malta. She has presented research papers in various conferences held in India and abroad. She obtained her PhD in Population Studies from IIPS, Mumbai.",3
"Ajaya Kumar Sahoo, Gavin J. Andrews, S. Irudaya Rajan (Eds.)"," Ajaya Kumar Sahoo is Lecturer at the Centre for Study of Indian Diaspora, University of Hyderabad, Hyderabad, India.  Gavin J. Andrews is Professor and Chair, Department of Health Aging and Society, McMaster University, Canada.  S. Irudaya Rajan is Chair Professor, Research Unit on International Migration, Centre for Development Studies, Thiruvananthapuram, Kerala, India.",4
"Barbara Berkman, K.L. Sharma, Daniel B. Kaplan (Eds)","Barbara Berkman is Helen Rehr/Ruth Fizdale Professor of Health and Mental Health, School of Social Work, Columbia University, New York and Principal Investigator and National Director Hartford Geriatric Social Work Faculty Scholars Program.K.L. Sharma is the founder of Indian Gerontological Association and founder editor of Indian Journal of Gerontology.Daniel B. Kaplan is Postdoctoral Research Fellow at Weill Cornell Institute for Geriatric Psychiatry, Instructor at Columbia University School of Social Work and Program Evaluator at Hartford National Center for Gerontological Nursing Excellence.",5
Daliya Sebastian,"Daliya Sebastian is a Research Associate at Public Health Foundation of India (PHFI), New Delhi. She has a doctorate in population studies from the International Institute of Population Sciences, Mumbai.She has done extensive research and analysis in the areas of gender, ageing, HIV, health and population.",6
Sarjoo Patel and Veena Gandotra (Eds)," Sarjoo Patel is Assistant Professor in the Department of Family and Community Resource Management (Home Management), Faculty of Family and Community Sciences, The Maharaja Sayajirao University of Baroda, Vadodara. She has five books to her credit and has published several articles in reputed journals.  Veena Gandotra is the former Dean and Head of the Department of Family and Community Resource Management (Home Management), Faculty of Family and Community Sciences, The Maharaja Sayajirao University of Baroda, Vadodara. She has guided several Masters’ and doctoral researches. She has seven books and several articles to her credit.",7
Lynn McDonald and K.L. Sharma (Eds.)," Lynn McDonald is a Professor in the Faculty of Social Work and Director of the Institute for the Life Course and Aging at the University of Toronto (Canada). She is the Scientific Director of International Centre of Excellence dedicated to the inter-professional care of older adults. Her research interests include work and retirement, gender and poverty, elder abuse and the older homeless. She is a co-author of a major Canadian textbook, “Aging in Contemporary Canada” (2nd edition, 2008), and a number of other books and articles including one of the first Canadian texts on elder abuse. In 2002 she was awarded the Governor General’s Golden Jubilee Medal for her contributions to Canadian gerontology. In 2007, she received the Betty Havens Award in Longitudinal Research for her contributions to research in ageing.  K.L. Sharma is the founder of Indian Gerontological Association and founder editor of Indian “Journal of Gerontology”. He has published 14 books and more than sixty papers on various issues covering multiple subjects like psychology, philosophy, education and gerontology in Indian and foreign journals. He has also presented papers at national and international seminars. Dr. Sharma is one of the nine partners of International Initiative for the Care of the Elderly, a programmme of NICE, University of Toronto and a member of International Federation on Ageing, Montreal and International Association of Gerontology and Geriatrics, USA.  Dr. Sharma holds dual masters (Psychology and Philosophy) and a Doctorate in Philosophy from University of Rajasthan, Jaipur where he taught psychology and philosophy for 36 years.",8
Vineeta Srivastava," Vineeta Srivastava is the Director (Research) in the Department of Social Work, Janardan Rai Nagar Rajadthan Vidyapeeth University, Udaipur. She is a recognized social activist working on various gender issues. She has involved herself in the capacity-building of social work functionaries in the state of Rajasthan and has actively contributed her skills as resource person in various training programmes.  She is also a prolific writer and has to her credit many articles published in reputed journals of social work, both in India and abroad. The awards she has received include IBC Foremost Educator of the World (2008); IBC 2000 Intellectuals of the 21st Century, 2009, Cambridge, UK; Professor Radha Kamal Mukherjee Young Social Scientist Award (2001 and 2002) and Senior Research Fellow of the Indian Social Science Association, 2008.",9
C. Shanthi Johnson and S. Irudaya Rajan (Eds.)," C. Shanthi Johnson, PhD, is a professor at the Faculty of Kinesiology and Health Studies at the University of Regina in Saskatchewan, Canada and an adjunct professor at the Canadian Centre for Activity and Aging, School of Kinesiology, University of Western Ontario in Canada. Earlier, she was at the School of Nutrition and Dietetics at Acadia University in Nova Scotia. She is also a registered dietitian and has been awarded fellow status with Dietitians of Canada (FDC) as well as the American College of Sports Medicine (FACSM). Her research interest involves health promotion and fall prevention among older adults with a multidisciplinary perspective. While aging and health has been the main focus of Dr. Johnson’s research, she has also been involved in research in the areas of population health, rural health, health services research, and global health.   S. Irudaya Rajan, PhD, is Chair Professor of the Research Unit on International Migration set up by the Ministry of Indian Overseas Affairs, Government of India at the Centre for Development Studies, Thiruvananthapuram, Kerala. He has more than two decades of research experience in demographic issues in Kerala, has published extensively, and has contributed seminally to debates on the demographic aspects of the ‘Kerala Model’ of development in national and international forums. Dr. Rajan has been involved in several projects on ageing funded by the United Nations, South Asian Network of Economic Institutes, Indo-Dutch Program on Alternatives in Development, Shastri Indo-Canadian Institute and International Development Research Centre.",10
